house,  market_value  ,  total_improvement_value  ,  total_land_value  ,total_main_area,main_area,  main_area_value  ,garage_area,  garage_value  ,land_area
6309,754207,696207,58000,4525,3462,610216,1063,85991,10000
6310,703481,642796,60685,4304,3226,558773,1078,84023,10463
6311,590665,532665,58000,4001,3036,466010,965,66655,10000
6312,617689,553939,63750,4186,2877,444412,1309,109527,10625
6313,471762,426609,45153,2747,2241,387261,506,39348,7785
6314,904839,824869,79970,5173,4188,742881,985,81988,13788
6315,563861,518917,44944,3524,2582,445738,942,73179,7749
6316,762392,694921,67471,4022,3147,617642,875,77279,11633
6317,595123,550179,44944,3852,2910,487891,942,62288,7749
6318,491900,444305,47595,3812,2842,385151,970,59154,8206
6319,479919,434975,44944,2902,2382,396067,520,38908,7749
6320,594388,537426,56962,3477,2925,495359,552,42067,9821
6322,447637,346108,101529,4895,3828,294678,1067,51430,17505
6323,548486,501755,46731,3358,2806,460950,552,40805,8057
6324,660691,587547,73144,4011,3219,528980,792,58567,12611
6325,524000,479056,44944,3164,2636,439446,528,39610,7749
6326,581656,536445,45211,3490,2962,496609,528,39836,7795
6327,510888,465944,44944,3033,2527,427430,506,38514,7749
6328,503707,458554,45153,2994,2444,416387,550,42167,7785
6329,524078,480073,44005,3158,2652,442113,506,37960,7587
6330,473704,428510,45194,2758,2252,389162,506,39348,7792
6331,557072,512331,44741,3408,2902,481635,506,30696,7714
6332,585518,541229,44289,3862,2743,457283,1119,83946,7636
6333,551366,505708,45658,3338,2809,466200,529,39508,7872
6334,480633,435521,45112,2758,2279,397888,479,37633,7778
6335,625892,580234,45658,4060,3532,542555,528,37679,7872
6336,561422,515347,46075,3272,2697,473864,575,41483,7944
6337,534914,489256,45658,3178,2628,447145,550,42111,7872
6338,543887,497771,46116,3259,2707,455934,552,41837,7951
6339,569015,523357,45658,3610,2696,454082,914,69275,7872
6340,480728,434572,46156,3543,2991,401249,552,33323,7958
6341,551884,506226,45658,3296,2768,466208,528,40018,7872
6342,545449,499246,46203,3232,2745,462335,487,36911,7966
6343,580106,534448,45658,3923,2927,463478,996,70970,7872
6344,517551,471308,46243,3135,2610,431517,525,39791,7973
6345,545052,499394,45658,3286,2758,459784,528,39610,7872
6346,588016,541732,46284,3769,2851,473171,918,68561,7980
6347,492400,448894,43506,2901,2417,411787,484,37107,7501
6348,545012,498682,46330,3227,2743,461998,484,36684,7988
6349,526975,478783,48192,3121,2593,438594,528,40189,8309
6350,511379,467096,44283,3064,2514,425232,550,41864,7635
